wav_file,txt_file,groundtruth_text,duration
~/aave_speech_rec/data_processed/wav/DCB_se2_ag2_m_01_1_part_44.wav,~/aave_speech_rec/data_processed/txt/DCB_se2_ag2_m_01_1_part_44.txt,"[Of course] I developed new friendships. I still have friends from there to this day. Uh, I have two very good friends that I still talk to. And the rest of the people I don't- I don't really wanna be associated with none of the people that went to that school.",11.045
~/aave_speech_rec/data_processed/wav/DCB_se3_ag2_f_01_1_part_5.wav,~/aave_speech_rec/data_processed/txt/DCB_se3_ag2_f_01_1_part_5.txt,"[<laugh>] She's with the Smithsonian. Um, she used to work at the zoo, and now she's like downtown with like, the museums on the mall. I don't know which specific museum. Cause she works with all of them so I don't know where she is right now. But she just moved downtown.",14.738
~/aave_speech_rec/data_processed/wav/DCB_se3_ag2_f_01_1_part_91.wav,~/aave_speech_rec/data_processed/txt/DCB_se3_ag2_f_01_1_part_91.txt,"Um, but like i- it was fine. Like I'm glad I did it, um, <ts> but yeah. I- like I like Chuck Brown. <laugh> That's about the only go go (laughing) I like. And that's just because of my parents.",16.162
~/aave_speech_rec/data_processed/wav/ATL_se0_ag1_m_02_1_part_59.wav,~/aave_speech_rec/data_processed/txt/ATL_se0_ag1_m_02_1_part_59.txt,"[But] I mean, at the same time it's just like, but still really, there's kids that actually- you know what I'm saying, but I- I know what you mean by that, the politics behind it. But, um, it's just like, so, you know,",10.33
~/aave_speech_rec/data_processed/wav/DCB_se1_ag3_f_01_1_part_163.wav,~/aave_speech_rec/data_processed/txt/DCB_se1_ag3_f_01_1_part_163.txt,"[Uh-huh.] I'm trying to think- Uh- Go go is just- If you hear go go, you know that's DC. Point blank. Now actually, just this past weekend, DC did- DC take over Miami, where Back Yard band played in Miami.",14.036
~/aave_speech_rec/data_processed/wav/PRV_se0_ag3_f_04_1_part_96.wav,~/aave_speech_rec/data_processed/txt/PRV_se0_ag3_f_04_1_part_96.txt,"and wanted to operate. She said no. Then she told her this not no tumor. Said, cause I didn't have children, this is bad.",8.693
~/aave_speech_rec/data_processed/wav/ROC_se0_ag3_f_01_1_part_15.wav,~/aave_speech_rec/data_processed/txt/ROC_se0_ag3_f_01_1_part_15.txt,"[And they] might can't leave the city, th- but they can certainly maybe go to the suburbs, or just a little bit further out. Maybe not all the way in the suburbs, but they're moving out.",8.084
~/aave_speech_rec/data_processed/wav/ROC_se0_ag1_f_03_1_part_204.wav,~/aave_speech_rec/data_processed/txt/ROC_se0_ag1_f_03_1_part_204.txt,"And like, I hope it worked. When I have a kid, I- I like I favor unisex names. Cause I don't want my kid to get hired just because they're a girl or a boy.",9.333
~/aave_speech_rec/data_processed/wav/ATL_se0_ag2_f_01_1_part_26.wav,~/aave_speech_rec/data_processed/txt/ATL_se0_ag2_f_01_1_part_26.txt,"Traditions. Oh, sitting down for Thanksgiving dinner, we'd say what we were thankful for every year and how it was gonna improve for the next year. Um, what else? Food is a big traditions in our house. So like we have macaroni pie. We have like the corn pie, [we always have, um], oxtail.",20.413
~/aave_speech_rec/data_processed/wav/DCB_se2_ag4_f_02_1_part_132.wav,~/aave_speech_rec/data_processed/txt/DCB_se2_ag4_f_02_1_part_132.txt,"I remember my father walking us down Four- walking me down- sorry. Um, Chapin Street to Fourteen, and then two blocks over there was a Safeway. And I remember him putting me on his shoulders and we watched that Safeway burn down. And my mother was livid. Because you know it was dangerous, and he had her child out there. So I remember the riots, I remember you know the fires, the looting, I remember that.",25.975
~/aave_speech_rec/data_processed/wav/ROC_se0_ag1_f_01_1_part_31.wav,~/aave_speech_rec/data_processed/txt/ROC_se0_ag1_f_01_1_part_31.txt,"[still there. No, it's-] it was- my counselor was getting ready- she was supposed to retire the year that we graduated, but she stayed. Or either the year before, and then she stayed for our year. She didn't really check in with me. It was just kind of like the beginning of the year, you know, you met with her, and then I didn't really see her again until the end when it was already, you know, too late.",19.142
~/aave_speech_rec/data_processed/wav/DCB_se2_ag3_m_03_1_part_42.wav,~/aave_speech_rec/data_processed/txt/DCB_se2_ag3_m_03_1_part_42.txt,"and uh, he ain't really trip off of me being in the house as long as I checked in with him and let him know that I was still alive. You know, I was out there just doing me. Me and my squad. Let me aks you this, um, <ts> What about your aunts and uncles? Um, my aunts and uncles. Most of my aunts that I remember, I had two, they were um- <ts> they were in church all the time. Are they from DC? [Or-] [They are] from DC. They're from DC All of the- all my- my- my immediate family and most of my extended family grew up in DC, I mean the ones that you know are from like Tappahannock and West Virginia and all that other stuff you know what I'm saying, they didn't",51.941
~/aave_speech_rec/data_processed/wav/DCB_se1_ag2_f_02_1_part_110.wav,~/aave_speech_rec/data_processed/txt/DCB_se1_ag2_f_02_1_part_110.txt,"So. So it's like, now people like, I gotta get out of DC because DC is so horrible, let's move to Virginia, Maryland, stuff like that because it's like DC now has this negative thing now s- that's the only thing.",11.235999999999999
